pakalpojums,cenas
BIOS programmēšana,50
Datu atjaunošana no diska,45
Gaismas lampiņas nomaiņa,60
LCD displeja maiņa,35
Tastatūras maiņa,85
Pamatplates nomaiņa,30
Pamatplates remonts,165
Reballing,150
Reballing ar čipa maiņu,200
Barošanas ligzdas nomaiņa,40
Tīrīšana no izlietā šķidruma,35
Diska kopēšana,15
"Vīrusu ārstēšana" ar bezmaksas antivīrusa uzstādīšanu,20
Datora optimizācija,20
Datu pārnese no vecā darba diska uz jauno,15
PC profilakse,20
Pilna datora pārlikšana ar datu saglabāšanu,35
Darbs ar Linux/Mac OS.20
Attīrīšana no putekļiem ar termopastas nomaiņu,30
Datu saglabāšana,12
Antivīrusa uzstādīšana,15
Microsoft Office vai Open Office uzstādīšana,25
Windows uzstādīšana (ar Jūsu licenci),25
Printera instalēšanas uzstādījumi,8
Multifunkcionālās ierīces instalēšana un uzstādīšana,15
Citu programmu uzstādīšana,15
Draiveru uzstādīšana,12
Rūtera uzstādīšana (tikai darbs),30
Windows downgrade (versijas samazināšana),30
